Name,Description,Script
Whoopie Cushion,Fart.ogg,sfx(~_fart~);
Lock Advocate,Lock [lock]1 dice,inflict(~lock~[;]1); sfx(~_lock~);
Final Countdown,Reduce countdowns by 5,boostcountdowns(5);
Midnight Snake,Roll a [dice]6 and a [dice]1,givedice([6[;] 1]);
Prickly Pear,Gain [thorns]2 thorns,inflictself(~thorns~[;]2); sfx(~_thorns~);
Curseathon,[75%][curse]2 to enemy[;] [curse] to self next turn,inflictself(~cursenext~[;]1); inflict(~curse~[;]2); sfx(~_curse~);
Sniper Shot,[90%]Reduce enemy health by [heart]5,pierceattack(5); sfx(~_plasma~);
Melting Ice,[95%]Inflict [fire]1 and [ice]1,inflict(~fire~); inflict(~ice~); sfx(~_fire~); sfx(~_ice~);
Bonus Payout,Use an extra jackpot ability[;] increase jackpot range,self.roll_jackpotbonus += 1; if(!self.roll_error){ self.roll_range += 1; adjustrobotcounter(0); } sfx(~stealgold~); for(eq in self.equipment){ if(eq.name == ~Insider Info~){ if((self.roll_total + eq.getvar(~diceval~)) >= (self.roll_target - self.roll_range) && !self.roll_jackpot && !self.roll_error){ if((self.roll_total + eq.getvar(~diceval~)) > self.roll_target){ eq.fulldescription = ~The next dice you[newline]calculate will be a [red]~ + eq.getvar(~diceval~); } else{ eq.fulldescription = ~The next dice you[newline]calculate will be a [yellow]~ + eq.getvar(~diceval~); } } else{ eq.fulldescription = ~The next dice you[newline]calculate will be a ~ + eq.getvar(~diceval~); } for(x in self.status){ if(x.name == ~Blind~ && x.value >= e.getvar(~calculatepressed~)){ e.fulldescription = ~The next dice you[newline]calculate will be a [blind]???~; }  if(x.type == ~ice~ && x.value >= e.getvar(~calculatepressed~)) { e.fulldescription = ~The next dice you[newline]calculate will be a [ice]1~; }  if(x.type == ~ice_all~) { e.fulldescription = ~The next dice you[newline]calculate will be a [ice]1~; } } } }
Firey Roll,Roll 2 burning dice,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])]); self.dicepool[self.dicepool.length - 1].burnnow(); self.dicepool[self.dicepool.length - 2].burnnow(); sfx(~_fire~);
Double Roll,Roll 2 dice,givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])]);
Faulty Wiring,Inflict [shock]2 shock,inflict(~shock~[;]2); sfx(~_shock~);
Icy Roll,Roll two [dice]1s,givedice([1[;]1]);
Syringe,Drain [heart]3 health,drain(3); sfx(~_drain~);
Slingshot,Do [sword]5 damage,attack(5); sfxdamage(5);
Suit Up,Gain [reduce]1 reduce,inflictself(~reduce~[;] 1); sfx(~_shield~);
Slippery Shoes,Gain [dodge]1 dodge,inflictself(~dodge~); sfx(~_dodge~);
Salvaging,[95%]Re-use next equipment,inflictself(REEQUIPNEXT); sfx(~_recycle~);
Uninnate,[90%]Remove the Enemy's Innate,/*storedprizeimmune*/ removestatus(~vampire~); removestatus(~jayinnate~); removestatus(~losegoldinnate~); target.innate = []; sfx(~_thinghappens~); screenshake();
Lucky Roll,Roll a [dice]7,givedice([7]);
Perfect Spanner,[90%]Combine all dice into one,/*storedprizeimmune*/ var dicenumber = 0; var isblinded = false; for(mydice in self.dicepool){ if(mydice.available()){ dicenumber += mydice.basevalue + mydice.modifier; mydice.removedice(); if(mydice.blind){ isblinded = true; } } } if(dicenumber != 0){ givedice([dicenumber]); self.dicepool[self.dicepool.length - 1].blind = isblinded; }
Fifths Roll,[80%]Increase jackpot range next turn,inflictself(~jackpotrangeup~);
Timebomb,[95%]Do [fire]15 damage in 3 turns,jinx(~Timebomb~[;]~take [fire]15 damage~[;]~Take [fire]15 damage~[;]~attack(15[;] FIRE); sfx(\~_fire\~);~[;] target[;] self[;] 3[;] d); sfx(~_shock~);
Cthulhu's Shield,[90%]Gain [shield]4 shield and [thorns]2 thorns,inflictself(~shield~[;]4); inflictself(~thorns~[;]2); sfx(~_shield~); sfx(~_thorns~);
Ctrl + C,[95%]Copy one of your equipment,/*storedprizeimmune*/ var ownequipment = []; for (eq in self.equipment){ if(!eq.hastag(~cannotsteal~) && !eq.hastag(~nojackpotcopy~) && eq.ready){ ownequipment.push(eq); } } if(ownequipment.length > 0){ var randomequipment = rand(ownequipment); giveequipment(randomequipment.name + randomequipment.namemodifier); } sfx(~_thinghappens~);
Nanomachines,Gain [reduce]2 reduce,inflictself(~reduce~[;] 2); sfx(~_shield~);
Stress,Inflict [weaken]1 weaken,inflict(WEAKEN); sfx(~_weaken~);
Lifeblood,Heal [heal]5 health,attackself(-5); sfx(~_heal~);
Ripper Mode,[80%]Next turn[;] deal [sword]2 extra damage,inflictself(~rippermodefail~[;] 2);
Blood Arrow,[80%]Lose [heart]3 health[;] do [sword]10 damage,self.hp -= 3; sfx(~_drain~); attack(10); sfxdamage(10);
Persona,Gain [fury]1 fury,inflictself(~fury~); sfx(~_fury~);
Ice Age,Freeze [ice]2 dice,inflict(~ice~[;] 2); sfx(~_ice~);
Leech,Drain [heart]5 health,drain(5); sfx(~_drain~);
Dragon's Roll,Roll a [dice]10,givedice([10]);
Flamethrower,Do [fire]6 damage,attack(6[;] FIRE); sfx(~_fire~);
Basil's Protection,Gain [thorns]1 thorns and heal [heal]2,inflictself(~thorns~[;]1); sfx(~_thorns~); attackself(-2); sfx(~_heal~);
Prince's Steal,[80%]Borrow equipment and upgrade it,/*storedprizeimmune*/ var enemyequipment = []; for (eq in target.equipment){ if(!eq.hastag(~cannotsteal~)){ enemyequipment.push(eq); } } if(enemyequipment.length > 0){ var randomequipment = rand(enemyequipment); giveequipment(randomequipment.name + randomequipment.namemodifier + ~+~); }
Containment Wave,[80%]Lock a random Enemy equipment,if(target != null) { var enemyequipment = []; for (eq in target.equipment){ if(!eq.hastag(~cannotsteal~) && eq.availablenextturn){ enemyequipment.push(eq); } } if(enemyequipment.length > 0){ var randomequipment = rand(enemyequipment); randomequipment.availablenextturn = false; randomequipment.unavailabletext = ~Locked!~; randomequipment.unavailabledetails = [~Locked until~[;]~next turn.~]; enemyequipment.remove(randomequipment); } } sfx(~_lock~);
Sandvich,Heal [heal]3 health,attackself(-3); sfx(~_heal~);
Mad Dog's Howl,Inflict [weaken]3 weaken,inflict(~weaken~[;]3); sfx(~_weaken~);
Tri Attack,[95%]Inflict [fire]1[;] [ice]1 and [shock]1,inflict(FIRE); inflict(ICE); inflict(SHOCK); sfx(~_fire~); sfx(~_ice~); sfx(~_shock~);
Run It Back,Start a new turn,inflictself(EXTRATURN); sfx(~_fury~); self.endturnnow();
