Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Bump_upgraded,Dice value +1|[gray](Reuseable),1,givedice([d + 1]);,Megabump,NORMAL,,GREEN,,,,,2,YES,NO,,,,,,,,,,,,,
Bumpblade_upgraded,[sword]1 damage[;] bump dice|[gray](Reuseable),1,attack(1); givedice([d + 1]);,Megabump,MAX5,,YELLOW,,,,,2,NO,NO,,,,,,,,,,,,,givedice(d + 1);
Call for Backup Warrior_downgraded,Pea Gun|Do [sword]3 damage,2,attack(3);,Lucky Shot,,,BRIGHTCYAN,,,,none,0,NO,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Thief_downgraded,Snake Eyes|Roll 2 ones,2,givedice([1[;] 1]);,Steal,,,GREEN,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Robot_downgraded,Regenerate|Heal [heal]3 health,2,attackself(-3);,Reversal,,,GRAY,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Witch_downgraded,Magic Dice|Roll an extra dice,2,givedice();,Regenerate,,,PURPLE,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Inventor_downgraded,Barricade|Shield +[shield]3,2,inflictself(SHIELD[;] 3);,Time Stop,,,ORANGE,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Warrior?_downgraded,Pea Gun|Do [sword]3 damage,2,attack(3);,Lucky Shot,,,BRIGHTCYAN,,,,none,0,NO,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Thief?_downgraded,Snake Eyes|Roll 2 ones,2,givedice([1[;] 1]);,Steal,,,GREEN,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Robot?_downgraded,Regenerate|Heal [heal]3 health,2,attackself(-3);,Reversal,,,GRAY,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Witch?_downgraded,Magic Dice|Roll an extra dice,2,givedice();,Regenerate,,,PURPLE,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Call for Backup Inventor?_downgraded,Barricade|Shield +[shield]3,2,inflictself(SHIELD[;] 3);,Time Stop,,,ORANGE,,,,none,0,YES,NO,excludefromrandomlists|powercard|curseavoid,,,,,,,,,,,,
Scrap Bump_upgraded,Dice value +1|(Always offered as scrap),1,givedice([d + 1]);,Magic Six,NORMAL,,GRAY,,,,,0,YES,NO,appearsforparts,,,,,,,,,,,,
Pirate Hook,Do [sword]<d6> damage[;]|[recycle] on 4,2,attack(d); if(d==4) bonus(1000);,Efficiency,NORMAL,,YELLOW,add1,change_power,reequipnext,,0,NO,NO,recycles,,,,e.setvar(~redice~[;] [4]);,,,,e.fulldescription = e.getvar(~ogdescription~);,if(e.getvar(~redice~).indexOf(d) != -1 && !e.getvar(~fury~)) { inflictself(~reequippolly~); },,e.setvar(~fury~[;] true);,
Pirate Hook_upgraded,Do [sword]<d6> damage[;]|[recycle] on 5,2,attack(d); if(d==5) bonus(1000);,Efficiency,NORMAL,,YELLOW,,,,,0,NO,NO,recycles,,,,,,,,,if(d == 4 && !e.getvar(~fury~)) { if(self.hasstatus(~retriggerall~)){ inflictself(~doublespookyfury~); sfx(~_fury~[;]~~[;]0.2); } else{ inflictself(~reequipnext~); sfx(~_recycle~[;]~~[;]0.2); } },,e.setvar(~fury~[;] true);,
Pirate Hook_downgraded,Do [sword]<d6> damage[;]|[recycle] on 4,2,attack(d); if(d==4) bonus(1000);,Efficiency,MAX4,,YELLOW,,,,,0,NO,NO,recycles,,,,,,,,e.fulldescription = e.getvar(~ogdescription~);,if(d == 4 && !e.getvar(~fury~)) { inflictself(~reequippolly~); },,e.setvar(~fury~[;] true);,
