GRAY,BLUE,RED,GREEN,YELLOW,PURPLE,ORANGE,BLACK,PINK,BACKCAST
Whoopie Cushion,Melting Ice,Blood Arrow,Basil's Protection,Bonus Payout,Mechanical Toxin,Containment Wave,Botulinum Dose,Uninnate,PC Fans
Curseathon,PC Fans,Final Countdown,Duplicate,Faulty Wiring,Tri Attack,Cthulhu's Shield,,Ctrl + C,Basil's Protection
Manual Roll,The Blue Devil,Sniper Shot,Midnight Snake,Slippery Shoes,Used Syringe,Lock Advocate,,Prince's Steal,Cthulhu's Shield
Stars And Time,Icy Roll,Headshot,Prickly Pear,Fifths Roll,,Guarded Fling,,Borrow,Ctrl + C
Split Path,Lifeblood,Firey Roll,Double Roll,Stinger,,Suit Up,,Run It Back,Dead Ringer
Electrocute,Ice Age,Syringe,The 50/50,Dead Ringer,,Nanomachines,,Limit Break,Double Roll
,,Slingshot,Salvaging,Ka... Ching!,,Stress,,,Dragon's Roll
,,Last Resort,Lucky Roll,Stored Prize,,Mad Dog's Howl,,,Fifths Roll
,,Timebomb,The 75/25,,,,,,Final Countdown
,,Ripper Mode,Perfect Spanner,,,,,,Firey Roll
,,Blood Arrow,Dragon's Roll,,,,,,Icy Roll
,,Feed,Sandvich,,,,,,Jimbo's Trick
,,Persona,Reshuffle,,,,,,Ka... Ching!
,,Leech,Full Restore,,,,,,Lifeblood
,,Flamethrower,,,,,,,Limit Break
,,Debatable Damage,,,,,,,Lucky Roll
,,Jimbo's Trick,,,,,,,Midnight Snake
,,,,,,,,,Nanomachines
,,,,,,,,,Perfect Spanner
,,,,,,,,,Persona
,,,,,,,,,Prickly Pear
,,,,,,,,,Reshuffle
,,,,,,,,,Ripper Mode
,,,,,,,,,Run It Back
,,,,,,,,,Salvaging
,,,,,,,,,Sandvich
,,,,,,,,,Slippery Shoes
,,,,,,,,,Stars And Time
,,,,,,,,,Stored Prize
,,,,,,,,,Suit Up
,,,,,,,,,Timebomb
,,,,,,,,,Full Restore
